enrollment_id,customer_id,product_id,enrollment_date,initial_investment,contribution_frequency,monthly_contribution,advisor_id,channel,status
ENR0000022,CUS000012,PRD0004,2023-09-29,4960.66,Annual,952.45,ADV0008,In-person,Active
ENR0000023,CUS000013,PRD0009,2023-01-27,2387.54,One-time,0,ADV0044,Phone,Active
ENR0000024,CUS000014,PRD0010,2021-07-21,22564.93,Monthly,1083.12,ADV0009,Phone,Active
ENR0000025,CUS000015,PRD0004,2021-08-08,4194.95,One-time,0,ADV0040,Mobile App,Active
ENR0000026,CUS000015,PRD0014,2021-08-08,30058.65,Annual,5049.85,ADV0042,Phone,Active
ENR0000027,CUS000016,PRD0007,2023-11-22,19951.06,Bi-annual,2394.13,ADV0008,In-person,Active
ENR0000028,CUS000016,PRD0014,2023-11-22,44867.24,One-time,0,ADV0049,Web,Active
ENR0000029,CUS000017,PRD0005,2021-02-27,95919.57,One-time,0,ADV0029,In-person,Active
ENR0000030,CUS000018,PRD0006,2021-12-21,5409.04,One-time,0,ADV0002,Phone,Active
ENR0000031,CUS000019,PRD0002,2021-07-12,14960.96,Bi-annual,2154.38,ADV0020,Web,Active
ENR0000032,CUS000019,PRD0004,2021-07-12,2569.68,Annual,740.07,ADV0002,In-person,Active
ENR0000033,CUS000020,PRD0004,2020-09-18,36650.35,Bi-annual,28147.47,ADV0020,Phone,Active
ENR0000034,CUS000020,PRD0002,2020-09-18,177574.95,One-time,0,ADV0042,In-person,Active
ENR0000035,CUS000020,PRD0008,2020-09-18,25262.95,Monthly,3233.66,ADV0012,In-person,Active
ENR0000036,CUS000020,PRD0015,2020-09-18,315187.06,Monthly,40343.94,ADV0048,Mobile App,Active
ENR0000037,CUS000020,PRD0006,2020-09-18,42191.55,One-time,0,ADV0033,Phone,Active
ENR0000038,CUS000021,PRD0009,2022-05-27,2104.41,Annual,353.54,ADV0026,Mobile App,Active
ENR0000039,CUS000022,PRD0014,2021-10-31,47987.28,One-time,0,ADV0001,In-person,Active
ENR0000040,CUS000023,PRD0015,2024-03-14,48576.92,Bi-annual,5829.23,ADV0042,Phone,Active
ENR0000041,CUS000023,PRD0010,2024-03-14,14540.77,Bi-annual,1744.89,ADV0038,Web,Active
ENR0000042,CUS000024,PRD0010,2021-05-21,17132.99,One-time,0,ADV0013,Phone,Active
ENR0000043,CUS000025,PRD0006,2023-03-01,32417.02,Quarterly,9336.1,ADV0042,Web,Active
ENR0000044,CUS000025,PRD0007,2023-03-01,42419.65,Bi-annual,24433.72,ADV0007,In-person,Active
ENR0000045,CUS000025,PRD0008,2023-03-01,10489.51,One-time,0,ADV0006,Mobile App,Active
ENR0000046,CUS000025,PRD0012,2023-03-01,32066.59,Bi-annual,18470.36,ADV0033,Phone,Active
ENR0000047,CUS000026,PRD0004,2020-12-01,37174.04,Annual,85649.0,ADV0006,Web,Active
ENR0000048,CUS000026,PRD0009,2020-12-01,26248.88,Quarterly,15119.35,ADV0012,In-person,Active
ENR0000049,CUS000026,PRD0014,2020-12-01,406747.58,Annual,937146.42,ADV0020,In-person,Active
ENR0000050,CUS000027,PRD0007,2024-01-04,11622.8,Annual,2789.47,ADV0003,Web,Active
ENR0000051,CUS000027,PRD0006,2024-01-04,8193.84,Quarterly,491.63,ADV0030,Phone,Active
ENR0000052,CUS000028,PRD0012,2023-05-14,19525.88,Bi-annual,5623.45,ADV0048,In-person,Active
ENR0000053,CUS000028,PRD0013,2023-05-14,5921.22,Monthly,284.22,ADV0024,Mobile App,Active
ENR0000054,CUS000029,PRD0009,2020-05-21,2230.38,Bi-annual,214.12,ADV0029,In-person,Active
ENR0000055,CUS000030,PRD0001,2023-07-25,11978.25,Quarterly,2299.82,ADV0042,Phone,Active
ENR0000056,CUS000030,PRD0004,2023-07-25,13398.17,One-time,0,ADV0042,Web,Active
ENR0000057,CUS000031,PRD0014,2023-01-07,75707.32,Monthly,3633.95,ADV0002,Phone,Active
ENR0000058,CUS000032,PRD0011,2024-08-28,10440.58,Quarterly,3006.89,ADV0033,Phone,Active
ENR0000059,CUS000032,PRD0013,2024-08-28,19411.62,One-time,0,ADV0035,Phone,Active
ENR0000060,CUS000032,PRD0002,2024-08-28,55924.67,Quarterly,16106.3,ADV0042,Mobile App,Active
ENR0000061,CUS000032,PRD0006,2024-08-28,33887.08,Bi-annual,19518.96,ADV0007,Phone,Active
ENR0000062,CUS000032,PRD0004,2024-08-28,19210.14,One-time,0,ADV0007,Mobile App,Active
ENR0000063,CUS000033,PRD0006,2022-10-09,32589.18,Bi-annual,15642.81,ADV0006,In-person,Active
ENR0000064,CUS000033,PRD0004,2022-10-09,12092.38,Monthly,967.39,ADV0021,Phone,Active
ENR0000065,CUS000033,PRD0001,2022-10-09,11674.34,Annual,11207.36,ADV0014,In-person,Active
ENR0000066,CUS000034,PRD0009,2023-05-05,4715.99,Bi-annual,1131.84,ADV0034,In-person,Active
ENR0000067,CUS000034,PRD0008,2023-05-05,5895.03,One-time,0,ADV0026,Phone,Active
ENR0000068,CUS000035,PRD0004,2022-04-12,4737.21,Annual,1364.32,ADV0016,In-person,Active
ENR0000069,CUS000036,PRD0015,2020-02-05,47141.11,Bi-annual,6788.32,ADV0017,Phone,Active
ENR0000070,CUS000036,PRD0007,2020-02-05,17516.23,Bi-annual,2522.34,ADV0029,Phone,Active
ENR0000071,CUS000037,PRD0008,2022-12-23,3024.52,Bi-annual,362.94,ADV0028,In-person,Active
ENR0000072,CUS000038,PRD0006,2021-05-29,7487.72,Bi-annual,898.53,ADV0025,Mobile App,Active
ENR0000073,CUS000038,PRD0013,2021-05-29,3084.48,Monthly,61.69,ADV0023,In-person,Active
ENR0000074,CUS000039,PRD0013,2024-02-21,3191.06,Quarterly,134.02,ADV0007,Mobile App,Active
ENR0000075,CUS000040,PRD0009,2021-02-01,2400.61,Quarterly,115.23,ADV0044,In-person,Active
ENR0000076,CUS000041,PRD0004,2020-04-21,4010.09,Quarterly,240.61,ADV0049,In-person,Active
ENR0000077,CUS000041,PRD0012,2020-04-21,5042.67,Bi-annual,605.12,ADV0019,In-person,Active
ENR0000078,CUS000042,PRD0014,2022-08-19,52734.18,Monthly,1265.62,ADV0031,Phone,Active
ENR0000079,CUS000042,PRD0010,2022-08-19,18654.66,Quarterly,1343.14,ADV0015,Phone,Active
ENR0000080,CUS000043,PRD0004,2022-03-31,3967.51,One-time,0,ADV0049,In-person,Active
ENR0000081,CUS000043,PRD0009,2022-03-31,2681.32,Monthly,42.9,ADV0021,In-person,Active
ENR0000082,CUS000044,PRD0004,2021-09-14,3624.93,One-time,0,ADV0002,Phone,Active
ENR0000083,CUS000044,PRD0008,2021-09-14,2611.14,Monthly,62.67,ADV0032,In-person,Active
ENR0000084,CUS000045,PRD0004,2022-02-18,3564.3,Annual,684.35,ADV0049,In-person,Active
ENR0000085,CUS000045,PRD0007,2022-02-18,13260.8,Monthly,212.17,ADV0037,Phone,Active
ENR0000086,CUS000046,PRD0006,2024-02-24,7840.95,One-time,0,ADV0039,In-person,Active
ENR0000087,CUS000047,PRD0004,2020-12-21,2659.27,Annual,446.76,ADV0013,In-person,Active
ENR0000088,CUS000047,PRD0007,2020-12-21,15695.15,Annual,2636.79,ADV0041,Phone,Active
ENR0000089,CUS000048,PRD0002,2021-04-19,20936.07,Quarterly,1256.16,ADV0003,In-person,Active
ENR0000090,CUS000049,PRD0003,2024-06-01,35969.96,Annual,13812.47,ADV0019,Mobile App,Active
ENR0000091,CUS000050,PRD0008,2023-08-19,2114.91,One-time,0,ADV0001,Mobile App,Active
ENR0000092,CUS000051,PRD0003,2024-08-15,16937.07,Annual,4064.9,ADV0031,In-person,Active
ENR0000093,CUS000051,PRD0002,2024-08-15,24438.71,Quarterly,1466.32,ADV0009,In-person,Active
ENR0000094,CUS000052,PRD0014,2021-07-11,49943.78,Quarterly,2397.3,ADV0039,In-person,Active
ENR0000095,CUS000052,PRD0012,2021-07-11,7937.46,One-time,0,ADV0046,In-person,Active
ENR0000096,CUS000053,PRD0001,2023-05-21,4977.71,Annual,1433.58,ADV0005,Phone,Active
ENR0000097,CUS000054,PRD0006,2023-10-08,14602.05,One-time,0,ADV0003,In-person,Active
ENR0000098,CUS000054,PRD0010,2023-10-08,32925.98,Annual,12643.58,ADV0023,In-person,Active
ENR0000099,CUS000054,PRD0008,2023-10-08,5564.36,Quarterly,534.18,ADV0027,In-person,Active
ENR0000100,CUS000055,PRD0007,2021-01-06,111484.11,Monthly,14269.97,ADV0048,Phone,Active
ENR0000101,CUS000055,PRD0011,2021-01-06,20380.42,One-time,0,ADV0006,Phone,Active
ENR0000102,CUS000055,PRD0003,2021-01-06,203765.28,Quarterly,78245.87,ADV0042,Phone,Active
ENR0000103,CUS000055,PRD0012,2021-01-06,79812.66,Monthly,10216.02,ADV0012,In-person,Active
ENR0000104,CUS000055,PRD0010,2021-01-06,112807.69,Quarterly,43318.15,ADV0006,Phone,Active
ENR0000105,CUS000055,PRD0002,2021-01-06,146216.75,Monthly,18715.74,ADV0033,In-person,Active
ENR0000106,CUS000056,PRD0006,2021-10-19,13993.42,Quarterly,1679.21,ADV0026,Mobile App,Active
ENR0000107,CUS000056,PRD0012,2021-10-19,11146.83,Quarterly,1337.62,ADV0021,In-person,Active
ENR0000108,CUS000057,PRD0008,2022-03-31,4330.19,Quarterly,519.62,ADV0046,Phone,Active
ENR0000109,CUS000057,PRD0002,2022-03-31,36769.69,Bi-annual,8824.73,ADV0011,Web,Active
ENR0000110,CUS000058,PRD0003,2024-05-01,19412.17,One-time,0,ADV0048,Web,Active
ENR0000111,CUS000059,PRD0011,2022-11-27,2546.5,Annual,427.81,ADV0023,Web,Active
ENR0000112,CUS000060,PRD0008,2023-01-29,3393.48,One-time,0,ADV0042,Phone,Active
ENR0000113,CUS000061,PRD0012,2023-05-31,14439.87,One-time,0,ADV0001,Mobile App,Active
ENR0000114,CUS000061,PRD0005,2023-05-31,88355.71,Quarterly,8482.15,ADV0024,Phone,Active
ENR0000115,CUS000062,PRD0001,2020-08-20,3554.21,Monthly,49.76,ADV0022,Phone,Active
ENR0000116,CUS000063,PRD0015,2021-07-13,32898.1,Quarterly,2368.66,ADV0047,Mobile App,Active
ENR0000117,CUS000064,PRD0014,2023-05-12,39814.24,One-time,0,ADV0041,Web,Active
ENR0000118,CUS000065,PRD0007,2024-06-01,12324.08,Monthly,246.48,ADV0023,Web,Active
ENR0000119,CUS000065,PRD0002,2024-06-01,17526.74,Bi-annual,2103.21,ADV0001,Mobile App,Active
ENR0000120,CUS000066,PRD0002,2022-07-03,20724.52,Bi-annual,1989.55,ADV0042,Phone,Active
ENR0000121,CUS000067,PRD0015,2021-01-21,312368.22,One-time,0,ADV0042,Phone,Active
ENR0000122,CUS000067,PRD0004,2021-01-21,34250.62,One-time,0,ADV0048,Phone,Active
ENR0000123,CUS000067,PRD0007,2021-01-21,127989.37,Annual,196591.67,ADV0033,Phone,Active
ENR0000124,CUS000068,PRD0003,2024-03-05,26425.74,Bi-annual,2219.76,ADV0043,Mobile App,Active
ENR0000125,CUS000068,PRD0011,2024-03-05,2035.3,One-time,0,ADV0029,Web,Active
ENR0000126,CUS000069,PRD0004,2020-09-15,2553.03,Monthly,40.85,ADV0020,In-person,Active
ENR0000127,CUS000070,PRD0010,2020-10-22,10793.9,Quarterly,453.34,ADV0024,Phone,Active
ENR0000128,CUS000071,PRD0007,2023-11-19,12043.85,Monthly,289.05,ADV0016,In-person,Active
ENR0000129,CUS000072,PRD0003,2024-04-04,19763.08,Monthly,316.21,ADV0034,In-person,Active
ENR0000130,CUS000072,PRD0005,2024-04-04,41201.16,Bi-annual,3955.31,ADV0049,Mobile App,Active
ENR0000131,CUS000073,PRD0004,2024-03-09,3848.28,Quarterly,184.72,ADV0044,Phone,Active
ENR0000132,CUS000073,PRD0015,2024-03-09,48241.9,Annual,9262.44,ADV0034,In-person,Active
ENR0000133,CUS000074,PRD0002,2020-02-29,23373.33,Monthly,373.97,ADV0013,Web,Active
ENR0000134,CUS000075,PRD0003,2022-12-23,16376.39,One-time,0,ADV0036,Phone,Active
ENR0000135,CUS000076,PRD0009,2021-05-08,2156.33,Annual,621.02,ADV0020,Web,Active
ENR0000136,CUS000077,PRD0007,2023-09-27,11764.36,Quarterly,705.86,ADV0020,Mobile App,Active
ENR0000137,CUS000078,PRD0004,2021-12-08,23355.32,Annual,53810.66,ADV0042,In-person,Active
ENR0000138,CUS000078,PRD0005,2021-12-08,352064.89,Annual,811157.51,ADV0012,In-person,Active
ENR0000139,CUS000078,PRD0013,2021-12-08,37080.84,Bi-annual,42717.13,ADV0020,Phone,Active
ENR0000140,CUS000078,PRD0008,2021-12-08,20116.67,Annual,46348.8,ADV0006,In-person,Active
ENR0000141,CUS000078,PRD0002,2021-12-08,156214.21,Annual,359917.54,ADV0012,In-person,Active
ENR0000142,CUS000078,PRD0006,2021-12-08,47828.63,Quarterly,27549.29,ADV0012,Mobile App,Active
ENR0000143,CUS000078,PRD0007,2021-12-08,119316.3,Annual,274904.75,ADV0042,In-person,Active
ENR0000144,CUS000078,PRD0009,2021-12-08,22144.6,Bi-annual,25510.58,ADV0033,Phone,Active
ENR0000145,CUS000079,PRD0015,2022-02-26,139483.49,Annual,93732.9,ADV0020,In-person,Active
ENR0000146,CUS000079,PRD0001,2022-02-26,15096.08,Annual,10144.57,ADV0014,Phone,Active
ENR0000147,CUS000079,PRD0002,2022-02-26,82545.32,Annual,55470.45,ADV0042,Web,Active
ENR0000148,CUS000079,PRD0007,2022-02-26,76858.74,Bi-annual,25824.54,ADV0014,Phone,Active
ENR0000149,CUS000079,PRD0010,2022-02-26,67898.86,Quarterly,11407.01,ADV0020,Phone,Active
ENR0000150,CUS000080,PRD0004,2021-08-27,3945.85,Quarterly,189.4,ADV0001,Web,Active
ENR0000151,CUS000080,PRD0010,2021-08-27,16443.97,Annual,3157.24,ADV0026,Phone,Active
ENR0000152,CUS000081,PRD0015,2024-03-06,42688.35,Annual,8196.16,ADV0017,In-person,Active
ENR0000153,CUS000082,PRD0005,2021-01-24,87623.11,Monthly,3504.92,ADV0007,In-person,Active
ENR0000154,CUS000082,PRD0012,2021-01-24,18142.28,Bi-annual,4354.15,ADV0048,Mobile App,Active
ENR0000155,CUS000082,PRD0007,2021-01-24,33980.18,Monthly,1359.21,ADV0011,Phone,Active
ENR0000156,CUS000083,PRD0002,2023-08-16,22171.8,Annual,4256.98,ADV0034,In-person,Active
ENR0000157,CUS000084,PRD0003,2021-08-27,20619.77,Quarterly,866.03,ADV0013,Phone,Active
ENR0000158,CUS000084,PRD0015,2021-08-27,43519.82,Quarterly,1827.83,ADV0012,Web,Active
ENR0000159,CUS000085,PRD0005,2021-07-12,99147.36,Annual,47590.73,ADV0029,Phone,Active
ENR0000160,CUS000086,PRD0003,2022-08-17,161058.23,One-time,0,ADV0048,Phone,Active
ENR0000161,CUS000086,PRD0002,2022-08-17,100950.66,Bi-annual,77530.11,ADV0012,Phone,Active
ENR0000162,CUS000086,PRD0005,2022-08-17,219368.37,One-time,0,ADV0012,In-person,Active
ENR0000163,CUS000086,PRD0014,2022-08-17,463710.81,Annual,712259.81,ADV0006,In-person,Active
ENR0000164,CUS000086,PRD0007,2022-08-17,109662.81,Bi-annual,84221.04,ADV0006,In-person,Active
ENR0000165,CUS000086,PRD0012,2022-08-17,66603.13,Annual,102302.41,ADV0020,Mobile App,Active
ENR0000166,CUS000086,PRD0013,2022-08-17,37461.55,Monthly,4795.08,ADV0012,In-person,Active
ENR0000167,CUS000086,PRD0010,2022-08-17,138017.61,Quarterly,52998.76,ADV0012,In-person,Active
ENR0000168,CUS000087,PRD0006,2022-03-19,7259.59,Annual,1219.61,ADV0033,Web,Active
ENR0000169,CUS000088,PRD0011,2024-08-11,7830.19,Bi-annual,1879.25,ADV0002,Phone,Active
ENR0000170,CUS000089,PRD0011,2023-02-23,2467.12,Annual,473.69,ADV0026,Phone,Active
ENR0000171,CUS000089,PRD0008,2023-02-23,2696.67,Annual,517.76,ADV0043,Phone,Active
ENR0000172,CUS000090,PRD0007,2021-09-10,23901.54,Quarterly,2294.55,ADV0034,Phone,Active
ENR0000173,CUS000090,PRD0005,2021-09-10,56393.07,Monthly,1804.58,ADV0020,In-person,Active
ENR0000174,CUS000090,PRD0010,2021-09-10,23361.06,Annual,8970.65,ADV0008,Phone,Active
ENR0000175,CUS000091,PRD0004,2021-04-25,19442.1,Monthly,1088.76,ADV0048,Phone,Active
ENR0000176,CUS000091,PRD0003,2021-04-25,69614.12,Bi-annual,23390.34,ADV0035,Phone,Active
ENR0000177,CUS000091,PRD0013,2021-04-25,17191.75,Annual,11552.86,ADV0014,Web,Active
ENR0000178,CUS000092,PRD0002,2024-01-28,21147.31,Quarterly,1268.84,ADV0037,Phone,Active
ENR0000179,CUS000092,PRD0013,2024-01-28,4109.97,Annual,986.39,ADV0046,In-person,Active
ENR0000180,CUS000093,PRD0013,2021-07-26,3058.88,Monthly,48.94,ADV0019,Web,Active
ENR0000181,CUS000093,PRD0004,2021-07-26,3350.59,One-time,0,ADV0013,Phone,Active
ENR0000182,CUS000094,PRD0003,2023-11-05,19700.58,Annual,3309.7,ADV0037,In-person,Active
ENR0000183,CUS000094,PRD0014,2023-11-05,31856.55,One-time,0,ADV0013,In-person,Active
ENR0000184,CUS000095,PRD0013,2020-09-07,19339.25,Quarterly,3248.99,ADV0025,Phone,Active
ENR0000185,CUS000095,PRD0006,2020-09-07,22131.72,Monthly,1239.38,ADV0025,In-person,Active
ENR0000186,CUS000095,PRD0015,2020-09-07,137364.09,Bi-annual,46154.34,ADV0042,In-person,Active
ENR0000187,CUS000095,PRD0011,2020-09-07,9179.4,Bi-annual,3084.28,ADV0006,Phone,Active
ENR0000188,CUS000096,PRD0005,2021-11-14,49758.38,Monthly,696.62,ADV0018,In-person,Active
ENR0000189,CUS000096,PRD0009,2021-11-14,3262.15,Quarterly,137.01,ADV0032,Mobile App,Active
ENR0000190,CUS000097,PRD0013,2024-07-23,11527.02,Quarterly,2766.49,ADV0042,Phone,Active
ENR0000191,CUS000097,PRD0006,2024-07-23,38463.16,Quarterly,9231.16,ADV0021,In-person,Active
ENR0000192,CUS000098,PRD0015,2020-10-23,402695.68,Bi-annual,463905.43,ADV0042,In-person,Active
ENR0000193,CUS000098,PRD0014,2020-10-23,307767.38,Quarterly,177274.01,ADV0033,In-person,Active
ENR0000194,CUS000098,PRD0003,2020-10-23,131678.35,Bi-annual,151693.46,ADV0020,Phone,Active
ENR0000195,CUS000098,PRD0001,2020-10-23,36996.19,Bi-annual,42619.62,ADV0042,Phone,Active
ENR0000196,CUS000098,PRD0009,2020-10-23,23070.14,Annual,53153.6,ADV0006,Phone,Active
ENR0000197,CUS000098,PRD0007,2020-10-23,97450.92,Quarterly,56131.73,ADV0033,In-person,Active
ENR0000198,CUS000098,PRD0006,2020-10-23,69038.3,One-time,0,ADV0012,Phone,Active
ENR0000199,CUS000098,PRD0010,2020-10-23,110124.46,Annual,253726.76,ADV0033,Phone,Active
ENR0000200,CUS000099,PRD0006,2022-01-03,19741.59,Quarterly,2368.99,ADV0004,Mobile App,Active
ENR0000201,CUS000100,PRD0003,2024-02-28,25838.26,Quarterly,1085.21,ADV0003,Mobile App,Active
ENR0000202,CUS000100,PRD0011,2024-02-28,2977.25,One-time,0,ADV0012,Mobile App,Active
ENR0000203,CUS000101,PRD0013,2020-08-11,3659.18,Annual,1053.85,ADV0018,In-person,Active
ENR0000204,CUS000102,PRD0001,2020-03-04,2791.57,Monthly,67.0,ADV0032,Phone,Active
ENR0000205,CUS000102,PRD0002,2020-03-04,12787.83,One-time,0,ADV0037,Phone,Active
ENR0000206,CUS000103,PRD0007,2020-06-14,14841.91,Annual,2493.44,ADV0020,Phone,Active
ENR0000207,CUS000104,PRD0002,2023-05-08,23861.01,One-time,0,ADV0012,Web,Active
ENR0000208,CUS000104,PRD0012,2023-05-08,6968.98,One-time,0,ADV0034,Phone,Active
ENR0000209,CUS000105,PRD0011,2023-08-26,14896.03,Quarterly,4290.06,ADV0012,In-person,Active
ENR0000210,CUS000105,PRD0002,2023-08-26,56152.27,Quarterly,16171.85,ADV0007,Web,Active
ENR0000211,CUS000105,PRD0003,2023-08-26,65269.26,Bi-annual,37595.09,ADV0012,Web,Active
ENR0000212,CUS000106,PRD0006,2024-08-21,5858.02,Monthly,117.16,ADV0016,Mobile App,Active
ENR0000213,CUS000106,PRD0009,2024-08-21,3318.32,Annual,796.4,ADV0009,In-person,Active
ENR0000214,CUS000107,PRD0015,2022-02-05,399028.08,Monthly,51075.59,ADV0048,Web,Active
ENR0000215,CUS000107,PRD0006,2022-02-05,51988.37,Quarterly,19963.53,ADV0048,Phone,Active
ENR0000216,CUS000107,PRD0010,2022-02-05,127342.65,Bi-annual,97799.16,ADV0048,In-person,Active
ENR0000217,CUS000107,PRD0009,2022-02-05,17189.75,Bi-annual,13201.73,ADV0006,Phone,Active
ENR0000218,CUS000107,PRD0012,2022-02-05,56002.38,Monthly,7168.3,ADV0006,Phone,Active
ENR0000219,CUS000107,PRD0004,2022-02-05,30718.09,Monthly,3931.92,ADV0033,Phone,Active
ENR0000220,CUS000107,PRD0002,2022-02-05,171444.5,One-time,0,ADV0033,Phone,Active
ENR0000221,CUS000108,PRD0014,2024-03-04,78981.62,Annual,37911.18,ADV0025,Web,Active
ENR0000222,CUS000108,PRD0003,2024-03-04,32325.74,Monthly,1293.03,ADV0035,Mobile App,Active
ENR0000223,CUS000109,PRD0006,2022-04-21,8200.89,Bi-annual,787.29,ADV0022,Phone,Active
ENR0000224,CUS000110,PRD0005,2023-03-29,25246.58,Annual,6059.18,ADV0015,Web,Active
ENR0000225,CUS000111,PRD0003,2022-01-22,22897.14,Bi-annual,3297.19,ADV0038,In-person,Active
ENR0000226,CUS000112,PRD0009,2023-09-09,5395.6,One-time,0,ADV0019,Phone,Active
ENR0000227,CUS000113,PRD0003,2021-12-19,19769.95,Annual,3795.83,ADV0012,In-person,Active
ENR0000228,CUS000114,PRD0010,2020-03-03,12590.61,One-time,0,ADV0046,Web,Active
ENR0000229,CUS000114,PRD0003,2020-09-02,17140.05,One-time,0,ADV0048,In-person,Active
ENR0000230,CUS000115,PRD0013,2021-09-30,8043.51,Annual,2702.62,ADV0012,In-person,Active
ENR0000231,CUS000115,PRD0004,2021-09-30,8992.34,One-time,0,ADV0019,Mobile App,Active
ENR0000232,CUS000115,PRD0011,2021-09-30,6082.38,Quarterly,510.92,ADV0020,Phone,Active
ENR0000233,CUS000116,PRD0007,2023-06-19,13127.37,Monthly,183.78,ADV0041,Web,Active
ENR0000234,CUS000116,PRD0013,2023-06-19,4862.17,Quarterly,204.21,ADV0037,Mobile App,Active
ENR0000235,CUS000117,PRD0015,2021-03-17,112461.18,Annual,53981.37,ADV0044,Phone,Active
ENR0000236,CUS000117,PRD0008,2021-03-17,5918.62,One-time,0,ADV0044,Phone,Active
ENR0000237,CUS000117,PRD0013,2021-03-17,7027.36,One-time,0,ADV0013,Phone,Active
ENR0000238,CUS000118,PRD0012,2021-09-23,8748.34,Quarterly,524.9,ADV0048,Phone,Active
ENR0000239,CUS000118,PRD0009,2021-09-23,3214.75,Quarterly,192.88,ADV0044,Phone,Active
ENR0000240,CUS000119,PRD0002,2024-04-20,17088.14,Quarterly,820.23,ADV0033,Phone,Active
ENR0000241,CUS000120,PRD0008,2020-12-25,2340.97,Monthly,56.18,ADV0022,Phone,Active
ENR0000242,CUS000120,PRD0007,2020-12-25,18317.26,Monthly,439.61,ADV0019,In-person,Active
ENR0000243,CUS000121,PRD0004,2024-02-28,4345.06,One-time,0,ADV0026,Mobile App,Active
ENR0000244,CUS000121,PRD0001,2024-02-28,4822.77,One-time,0,ADV0003,In-person,Active
ENR0000245,CUS000122,PRD0006,2023-12-24,10058.91,Annual,4828.28,ADV0022,Web,Active
ENR0000246,CUS000123,PRD0006,2023-06-19,9450.98,Quarterly,453.65,ADV0026,Phone,Active
ENR0000247,CUS000124,PRD0008,2022-03-31,2169.49,One-time,0,ADV0010,In-person,Active
ENR0000248,CUS000124,PRD0004,2022-03-31,2517.28,Bi-annual,302.07,ADV0015,In-person,Active
ENR0000249,CUS000125,PRD0006,2020-06-05,9460.97,One-time,0,ADV0018,Mobile App,Active
ENR0000250,CUS000125,PRD0007,2020-06-05,16562.8,Annual,4770.09,ADV0011,Mobile App,Active
ENR0000251,CUS000126,PRD0006,2024-08-04,18835.76,Quarterly,2260.29,ADV0008,Web,Active
ENR0000252,CUS000127,PRD0007,2020-11-09,28421.12,Bi-annual,4774.75,ADV0003,Web,Active
ENR0000253,CUS000128,PRD0011,2024-04-05,2237.58,Annual,429.62,ADV0036,Phone,Active
ENR0000254,CUS000128,PRD0005,2024-04-05,33122.19,Annual,6359.46,ADV0033,In-person,Active
ENR0000255,CUS000129,PRD0002,2023-07-08,24470.98,Monthly,391.54,ADV0009,Web,Active
ENR0000256,CUS000130,PRD0001,2023-04-26,4195.78,Bi-annual,402.79,ADV0028,Phone,Active
ENR0000257,CUS000131,PRD0008,2024-08-30,2564.45,Monthly,35.9,ADV0049,Web,Active
ENR0000258,CUS000131,PRD0005,2024-08-30,43231.21,Quarterly,1815.71,ADV0016,Web,Active
ENR0000259,CUS000132,PRD0012,2023-02-09,58955.71,Monthly,11319.5,ADV0033,Phone,Active
