interaction_id,customer_id,date,channel,reason_code,duration_minutes,satisfaction_score,resolution_status,agent_id
INT000026,CUS000491,2024-06-25,In-person,Transaction Issue,37,2.7,Partially Resolved,AGT0051
INT000027,CUS000783,2021-05-05,In-person,Password Reset,23,3.7,Partially Resolved,AGT0041
INT000028,CUS000393,2023-06-15,In-person,Complaint,21,1.6,Unresolved,AGT0094
INT000029,CUS000394,2022-04-05,Email,Market Information,3,5,Resolved,AGT0059
INT000030,CUS000046,2024-06-16,Phone,Investment Advice,17,4.3,Resolved,AGT0038
INT000031,CUS000117,2023-07-05,Web,Account Inquiry,8,4.4,Resolved,AGT0019
INT000032,CUS000246,2020-08-05,In-person,Complaint,16,3.3,Partially Resolved,AGT0055
INT000033,CUS000899,2022-02-01,Phone,Account Inquiry,9,3.8,Resolved,AGT0043
INT000034,CUS000361,2022-11-05,Phone,Statement Request,8,4.4,Resolved,AGT0076
INT000035,CUS000451,2023-01-03,In-person,Technical Support,11,3.1,Partially Resolved,AGT0077
INT000036,CUS000847,2024-09-12,Chat,Fee Inquiry,4,3.7,Resolved,AGT0067
INT000037,CUS000381,2023-02-18,In-person,Account Inquiry,16,4.6,Resolved,AGT0005
INT000038,CUS000924,2023-06-15,Phone,Transaction Issue,28,2.1,Unresolved,AGT0068
INT000039,CUS000649,2023-10-24,Chat,Account Inquiry,13,3.8,Resolved,AGT0071
INT000040,CUS000559,2024-08-02,Web,Transaction Issue,12,2.9,Unresolved,AGT0011
INT000041,CUS000175,2023-11-03,Phone,Fee Inquiry,10,4.6,Resolved,AGT0095
INT000042,CUS000434,2024-08-06,Chat,Fee Inquiry,11,4.0,Resolved,AGT0023
INT000043,CUS000862,2024-08-13,Email,Investment Advice,8,4.0,Resolved,AGT0087
INT000044,CUS000591,2023-01-03,Phone,Technical Support,10,3.0,Partially Resolved,AGT0088
INT000045,CUS000577,2022-11-27,In-person,Complaint,37,2.9,Unresolved,AGT0019
INT000046,CUS000749,2023-12-10,Phone,Statement Request,11,4.6,Resolved,AGT0050
INT000047,CUS000413,2022-11-16,Phone,Investment Advice,18,4.1,Resolved,AGT0029
INT000048,CUS000756,2024-08-03,In-person,Account Inquiry,8,4.1,Resolved,AGT0049
INT000049,CUS000542,2022-11-06,Mobile App,Technical Support,15,3.7,Partially Resolved,AGT0081
INT000050,CUS000146,2024-03-20,In-person,Transaction Issue,40,1.1,Unresolved,AGT0099
INT000051,CUS000343,2022-02-18,In-person,Investment Advice,11,4.5,Resolved,AGT0045
INT000052,CUS000235,2024-09-10,In-person,Transaction Issue,15,3.0,Partially Resolved,AGT0051
INT000053,CUS000471,2023-12-28,Phone,Transaction Issue,40,1.6,Partially Resolved,AGT0029
INT000054,CUS000803,2022-06-17,Mobile App,Market Information,5,4.3,Resolved,AGT0068
INT000055,CUS000258,2024-02-02,Phone,Transaction Issue,37,2.8,Unresolved,AGT0001
INT000056,CUS000533,2023-04-29,Phone,Market Information,29,3.0,Partially Resolved,AGT0005
INT000057,CUS000893,2020-12-17,Phone,Market Information,15,4.1,Resolved,AGT0019
INT000058,CUS000469,2024-07-26,Phone,Fee Inquiry,10,4.1,Resolved,AGT0024
INT000059,CUS000580,2023-12-14,Web,Complaint,16,3.2,Resolved,AGT0048
INT000060,CUS000590,2024-07-22,Chat,Fee Inquiry,12,4.3,Resolved,AGT0053
INT000061,CUS000281,2024-08-13,In-person,Fee Inquiry,19,2.8,Unresolved,AGT0076
INT000062,CUS000339,2023-11-19,Phone,Investment Advice,29,3.0,Partially Resolved,AGT0077
INT000063,CUS000779,2023-11-01,Phone,Transaction Issue,40,3.2,Resolved,AGT0042
INT000064,CUS000292,2023-02-05,Phone,Complaint,16,4.1,Resolved,AGT0050
INT000065,CUS000287,2023-08-31,Phone,Market Information,22,3.7,Resolved,AGT0041
INT000066,CUS000755,2024-06-18,Web,Fee Inquiry,9,4.1,Resolved,AGT0065
INT000067,CUS000004,2023-05-06,In-person,Complaint,40,2.6,Partially Resolved,AGT0026
INT000068,CUS000472,2022-05-01,Phone,Statement Request,22,3.9,Resolved,AGT0097
INT000069,CUS000888,2022-05-13,Email,Fee Inquiry,12,4.4,Resolved,AGT0040
INT000070,CUS000242,2023-06-06,Phone,Statement Request,14,4.2,Resolved,AGT0029
INT000071,CUS000800,2021-02-25,Web,Transaction Issue,21,2.8,Partially Resolved,AGT0066
INT000072,CUS000048,2021-09-27,Email,Account Inquiry,7,4.6,Resolved,AGT0037
INT000073,CUS000132,2023-02-25,Phone,Statement Request,13,4.7,Resolved,AGT0044
INT000074,CUS000528,2022-11-05,Web,Account Inquiry,8,3.7,Partially Resolved,AGT0082
INT000075,CUS000267,2024-05-13,In-person,Password Reset,20,3.7,Partially Resolved,AGT0031
INT000076,CUS000181,2024-07-24,Phone,Fee Inquiry,13,3.8,Partially Resolved,AGT0086
INT000077,CUS000093,2022-10-02,In-person,Market Information,6,4.6,Resolved,AGT0065
INT000078,CUS000671,2024-02-16,In-person,Investment Advice,6,3.8,Partially Resolved,AGT0074
INT000079,CUS000816,2022-10-14,In-person,Complaint,22,1.9,Unresolved,AGT0055
INT000080,CUS000488,2023-07-03,Email,Fee Inquiry,11,4.0,Resolved,AGT0078
INT000081,CUS000870,2024-05-13,Chat,Market Information,9,3.8,Resolved,AGT0051
INT000082,CUS000730,2024-04-24,In-person,Complaint,42,2.6,Partially Resolved,AGT0073
INT000083,CUS000657,2024-09-22,Web,Investment Advice,2,3.8,Partially Resolved,AGT0049
INT000084,CUS000524,2022-08-16,Web,Password Reset,9,3.9,Partially Resolved,AGT0088
INT000085,CUS000013,2024-05-18,In-person,Complaint,27,2.7,Partially Resolved,AGT0063
INT000086,CUS000156,2024-04-02,Chat,Transaction Issue,7,2.4,Partially Resolved,AGT0091
INT000087,CUS000124,2022-05-30,Phone,Investment Advice,24,3.4,Resolved,AGT0010
INT000088,CUS000380,2022-05-26,Phone,Transaction Issue,25,2.5,Unresolved,AGT0016
INT000089,CUS000914,2024-09-02,Mobile App,Market Information,5,3.8,Partially Resolved,AGT0001
INT000090,CUS000749,2022-11-28,In-person,Complaint,43,1.9,Unresolved,AGT0070
INT000091,CUS000868,2022-05-04,Phone,Technical Support,15,2.3,Unresolved,AGT0003
INT000092,CUS000500,2023-05-24,Phone,Investment Advice,12,4.0,Resolved,AGT0070
INT000093,CUS000944,2024-03-06,In-person,Statement Request,20,3.3,Resolved,AGT0044
INT000094,CUS000841,2024-05-29,Web,Password Reset,3,3.9,Resolved,AGT0027
INT000095,CUS000733,2023-11-11,Phone,Password Reset,6,4.3,Resolved,AGT0004
INT000096,CUS000386,2022-02-24,In-person,Account Inquiry,25,3.8,Resolved,AGT0018
INT000097,CUS000885,2020-11-26,In-person,Complaint,37,2.2,Unresolved,AGT0065
INT000098,CUS000477,2021-01-28,Web,Transaction Issue,22,1.8,Unresolved,AGT0007
INT000099,CUS000333,2023-01-20,Phone,Statement Request,24,3.1,Resolved,AGT0006
INT000100,CUS000739,2024-02-22,Email,Statement Request,9,2.6,Partially Resolved,AGT0029
INT000101,CUS000409,2023-01-29,In-person,Password Reset,9,3.2,Resolved,AGT0042
INT000102,CUS000213,2024-02-26,Web,Complaint,19,3.3,Partially Resolved,AGT0051
INT000103,CUS000066,2024-09-04,In-person,Fee Inquiry,6,3.7,Resolved,AGT0056
INT000104,CUS000084,2022-06-13,In-person,Password Reset,28,2.9,Unresolved,AGT0037
INT000105,CUS000422,2022-04-12,In-person,Password Reset,14,3.7,Resolved,AGT0058
INT000106,CUS000654,2021-10-28,Phone,Investment Advice,14,2.9,Unresolved,AGT0056
INT000107,CUS000545,2023-09-14,Web,Account Inquiry,13,3.7,Partially Resolved,AGT0001
INT000108,CUS000383,2023-06-09,Web,Market Information,12,4.5,Resolved,AGT0012
INT000109,CUS000665,2024-08-24,Email,Technical Support,7,2.5,Unresolved,AGT0030
INT000110,CUS000722,2024-07-12,Phone,Password Reset,19,4.3,Resolved,AGT0028
INT000111,CUS000558,2022-10-23,Phone,Account Inquiry,9,3.8,Partially Resolved,AGT0059
INT000112,CUS000046,2024-03-23,Chat,Market Information,4,3.8,Partially Resolved,AGT0039
INT000113,CUS000190,2024-05-14,Phone,Investment Advice,6,4.4,Resolved,AGT0044
INT000114,CUS000205,2023-03-22,Email,Market Information,11,4.2,Resolved,AGT0037
INT000115,CUS000544,2023-12-21,Chat,Investment Advice,12,4.0,Resolved,AGT0063
INT000116,CUS000499,2022-06-17,Phone,Technical Support,30,2.3,Partially Resolved,AGT0008
INT000117,CUS000925,2022-08-10,Phone,Statement Request,26,2.7,Unresolved,AGT0034
INT000118,CUS000987,2023-09-13,Email,Fee Inquiry,8,4.5,Resolved,AGT0045
INT000119,CUS000801,2024-08-09,In-person,Technical Support,14,3.4,Resolved,AGT0057
INT000120,CUS000741,2022-07-08,Phone,Account Inquiry,16,3.8,Partially Resolved,AGT0070
INT000121,CUS000977,2024-06-04,Email,Fee Inquiry,3,4.1,Resolved,AGT0069
INT000122,CUS000081,2024-06-22,Phone,Market Information,9,4.5,Resolved,AGT0079
INT000123,CUS000435,2023-06-27,Phone,Fee Inquiry,27,3.1,Resolved,AGT0092
INT000124,CUS000041,2022-05-27,Email,Market Information,3,3.7,Partially Resolved,AGT0082
INT000125,CUS000009,2024-06-07,Chat,Fee Inquiry,14,4.6,Resolved,AGT0064
INT000126,CUS000164,2023-06-12,Chat,Password Reset,8,4.2,Resolved,AGT0053
INT000127,CUS000507,2024-09-03,In-person,Statement Request,27,3.3,Resolved,AGT0095
INT000128,CUS000120,2024-06-25,Mobile App,Statement Request,4,4.4,Resolved,AGT0059
INT000129,CUS000775,2023-05-28,Email,Fee Inquiry,7,4.4,Resolved,AGT0002
INT000130,CUS000263,2023-02-04,In-person,Investment Advice,28,3.2,Partially Resolved,AGT0039
INT000131,CUS000687,2022-12-25,Email,Technical Support,3,2.6,Unresolved,AGT0089
INT000132,CUS000964,2021-04-25,Chat,Statement Request,2,3.4,Partially Resolved,AGT0065
INT000133,CUS000458,2023-10-13,Phone,Investment Advice,10,3.7,Partially Resolved,AGT0023
INT000134,CUS000712,2024-05-24,Web,Market Information,6,4.5,Resolved,AGT0083
INT000135,CUS000817,2023-10-14,In-person,Investment Advice,30,2.8,Partially Resolved,AGT0090
INT000136,CUS000124,2023-11-17,In-person,Password Reset,25,3.7,Partially Resolved,AGT0028
INT000137,CUS000522,2024-07-13,Phone,Market Information,15,4.3,Resolved,AGT0032
INT000138,CUS000709,2024-08-22,Web,Market Information,7,4.9,Resolved,AGT0052
INT000139,CUS000028,2024-07-02,Phone,Investment Advice,15,4.0,Resolved,AGT0085
INT000140,CUS000571,2024-03-20,Chat,Technical Support,3,2.8,Partially Resolved,AGT0040
INT000141,CUS000392,2023-06-24,In-person,Fee Inquiry,24,3.3,Resolved,AGT0029
INT000142,CUS000636,2023-07-25,In-person,Technical Support,8,3.5,Partially Resolved,AGT0091
INT000143,CUS000921,2024-05-06,In-person,Transaction Issue,36,2.7,Unresolved,AGT0096
INT000144,CUS000454,2022-11-07,Chat,Fee Inquiry,4,3.9,Resolved,AGT0073
INT000145,CUS000421,2024-03-09,Phone,Account Inquiry,14,4.9,Resolved,AGT0049
INT000146,CUS000665,2024-09-14,Mobile App,Technical Support,2,2.4,Unresolved,AGT0066
INT000147,CUS000823,2024-04-23,Phone,Account Inquiry,8,3.9,Partially Resolved,AGT0065
INT000148,CUS000466,2024-09-05,Email,Market Information,12,3.9,Partially Resolved,AGT0062
INT000149,CUS000977,2024-09-16,Mobile App,Statement Request,8,4.0,Partially Resolved,AGT0021
INT000150,CUS000106,2024-09-16,Phone,Statement Request,20,4.6,Resolved,AGT0038
INT000151,CUS000582,2023-12-24,Phone,Account Inquiry,7,4.2,Resolved,AGT0001
INT000152,CUS000628,2023-01-23,In-person,Account Inquiry,18,4.3,Resolved,AGT0034
INT000153,CUS000208,2024-05-10,Chat,Complaint,9,3.0,Partially Resolved,AGT0098
INT000154,CUS000489,2024-02-10,Phone,Statement Request,22,3.5,Resolved,AGT0076
INT000155,CUS000025,2024-08-22,Chat,Technical Support,12,2.0,Partially Resolved,AGT0013
INT000156,CUS000482,2021-10-31,Phone,Investment Advice,20,3.9,Partially Resolved,AGT0032
INT000157,CUS000641,2024-04-11,Phone,Technical Support,16,3.4,Partially Resolved,AGT0037
INT000158,CUS000824,2023-10-15,In-person,Complaint,36,2.5,Unresolved,AGT0090
INT000159,CUS000549,2024-04-13,In-person,Investment Advice,19,4.2,Resolved,AGT0025
INT000160,CUS000930,2021-08-15,Chat,Investment Advice,11,5,Resolved,AGT0022
INT000161,CUS000038,2024-07-05,Chat,Fee Inquiry,10,4.4,Resolved,AGT0029
INT000162,CUS000340,2023-12-02,In-person,Account Inquiry,19,4.4,Resolved,AGT0042
INT000163,CUS000920,2021-04-14,In-person,Market Information,27,2.8,Partially Resolved,AGT0071
INT000164,CUS000072,2024-08-07,Phone,Statement Request,25,3.5,Partially Resolved,AGT0033
INT000165,CUS000945,2024-08-20,Chat,Market Information,11,4.5,Resolved,AGT0085
INT000166,CUS000206,2023-05-21,Web,Market Information,6,4.5,Resolved,AGT0060
INT000167,CUS000353,2022-10-15,Chat,Fee Inquiry,15,3.2,Resolved,AGT0100
INT000168,CUS000036,2021-02-09,Phone,Investment Advice,22,3.3,Partially Resolved,AGT0029
INT000169,CUS000303,2021-05-02,In-person,Technical Support,7,2.6,Partially Resolved,AGT0033
INT000170,CUS000502,2023-12-12,In-person,Investment Advice,21,4.5,Resolved,AGT0088
INT000171,CUS000609,2024-07-16,Phone,Fee Inquiry,7,4.4,Resolved,AGT0025
INT000172,CUS000741,2023-09-11,Phone,Transaction Issue,30,3.0,Partially Resolved,AGT0055
INT000173,CUS000967,2024-01-20,In-person,Fee Inquiry,15,3.1,Resolved,AGT0027
INT000174,CUS000734,2024-09-25,In-person,Technical Support,13,2.2,Partially Resolved,AGT0049
INT000175,CUS000422,2023-01-05,Phone,Market Information,9,3.7,Partially Resolved,AGT0079
INT000176,CUS000182,2023-07-08,Web,Investment Advice,11,5,Resolved,AGT0032
INT000177,CUS000581,2021-01-15,In-person,Complaint,31,2.4,Partially Resolved,AGT0012
INT000178,CUS000638,2021-10-13,Phone,Account Inquiry,20,4.1,Resolved,AGT0087
INT000179,CUS000894,2024-03-18,Email,Technical Support,3,3.1,Partially Resolved,AGT0040
INT000180,CUS000907,2022-11-18,Phone,Market Information,5,3.8,Resolved,AGT0055
INT000181,CUS000078,2023-04-01,Mobile App,Fee Inquiry,12,4.2,Resolved,AGT0051
INT000182,CUS000148,2022-10-28,Phone,Market Information,19,4.1,Resolved,AGT0004
INT000183,CUS000007,2024-08-29,In-person,Password Reset,24,3.6,Resolved,AGT0076
INT000184,CUS000987,2022-01-13,Web,Complaint,9,3.6,Resolved,AGT0053
INT000185,CUS000851,2022-08-22,Mobile App,Complaint,7,3.0,Unresolved,AGT0010
INT000186,CUS000679,2021-09-10,In-person,Market Information,23,3.4,Partially Resolved,AGT0030
INT000187,CUS000046,2024-04-15,Chat,Investment Advice,9,4.0,Partially Resolved,AGT0044
INT000188,CUS000698,2023-06-17,In-person,Account Inquiry,20,3.6,Resolved,AGT0065
INT000189,CUS000600,2022-08-15,Phone,Password Reset,5,4.3,Resolved,AGT0087
INT000190,CUS000108,2024-05-12,Web,Transaction Issue,10,2.6,Partially Resolved,AGT0005
INT000191,CUS000671,2023-08-16,Phone,Market Information,17,4.1,Resolved,AGT0012
INT000192,CUS000632,2024-04-26,In-person,Investment Advice,30,3.3,Resolved,AGT0073
INT000193,CUS000339,2024-05-04,In-person,Technical Support,24,1.3,Partially Resolved,AGT0049
INT000194,CUS000171,2020-04-22,In-person,Password Reset,9,4.2,Resolved,AGT0032
INT000195,CUS000799,2022-02-14,In-person,Technical Support,7,4.0,Resolved,AGT0079
INT000196,CUS000949,2024-05-13,Mobile App,Account Inquiry,13,3.5,Resolved,AGT0030
INT000197,CUS000281,2024-06-24,Phone,Investment Advice,7,2.6,Partially Resolved,AGT0087
INT000198,CUS000629,2022-04-13,Chat,Market Information,10,4.3,Resolved,AGT0069
INT000199,CUS000695,2024-08-04,In-person,Investment Advice,17,3.8,Resolved,AGT0045
INT000200,CUS000508,2022-11-27,Web,Fee Inquiry,13,3.8,Resolved,AGT0061
INT000201,CUS000551,2024-01-31,Phone,Transaction Issue,24,2.2,Unresolved,AGT0039
INT000202,CUS000237,2023-11-27,Phone,Investment Advice,11,4.1,Resolved,AGT0027
INT000203,CUS000286,2024-04-25,Mobile App,Transaction Issue,9,3.2,Partially Resolved,AGT0016
INT000204,CUS000850,2023-10-23,In-person,Password Reset,13,3.7,Partially Resolved,AGT0049
INT000205,CUS000638,2022-06-01,Phone,Technical Support,24,3.0,Partially Resolved,AGT0084
INT000206,CUS000319,2023-05-06,Web,Fee Inquiry,8,3.6,Partially Resolved,AGT0080
INT000207,CUS000345,2023-05-14,Chat,Fee Inquiry,7,3.7,Resolved,AGT0015
INT000208,CUS000332,2024-04-01,Email,Technical Support,13,3.5,Resolved,AGT0030
INT000209,CUS000579,2021-08-05,Phone,Market Information,16,3.6,Resolved,AGT0091
INT000210,CUS000871,2023-09-27,Mobile App,Complaint,9,3.7,Partially Resolved,AGT0090
INT000211,CUS000122,2024-06-14,In-person,Password Reset,24,3.9,Partially Resolved,AGT0039
INT000212,CUS000726,2024-07-16,Chat,Statement Request,5,4.2,Resolved,AGT0086
INT000213,CUS000229,2023-09-21,Web,Fee Inquiry,3,3.7,Partially Resolved,AGT0061
INT000214,CUS000720,2023-07-18,Phone,Technical Support,16,2.9,Unresolved,AGT0008
INT000215,CUS000630,2023-05-15,In-person,Technical Support,10,2.8,Partially Resolved,AGT0099
INT000216,CUS000402,2020-12-26,In-person,Statement Request,24,3.1,Partially Resolved,AGT0093
INT000217,CUS000497,2024-06-21,Phone,Transaction Issue,7,3.6,Resolved,AGT0083
INT000218,CUS000282,2024-08-29,Mobile App,Technical Support,10,3.0,Partially Resolved,AGT0072
INT000219,CUS000783,2021-06-19,Phone,Statement Request,20,3.4,Partially Resolved,AGT0012
INT000220,CUS000391,2023-01-16,Web,Fee Inquiry,7,3.6,Resolved,AGT0007
INT000221,CUS000321,2023-02-27,In-person,Statement Request,11,4.2,Resolved,AGT0095
INT000222,CUS000168,2024-01-12,Phone,Account Inquiry,16,4.0,Resolved,AGT0006
INT000223,CUS000304,2023-09-07,Phone,Password Reset,8,4.1,Resolved,AGT0016
INT000224,CUS000149,2024-07-02,Web,Fee Inquiry,2,4.7,Resolved,AGT0042
INT000225,CUS000575,2022-10-22,Web,Statement Request,9,4.1,Resolved,AGT0089
INT000226,CUS000025,2024-03-13,In-person,Complaint,40,2.9,Unresolved,AGT0033
INT000227,CUS000494,2023-09-11,In-person,Password Reset,10,3.2,Resolved,AGT0060
INT000228,CUS000736,2023-11-14,Phone,Technical Support,17,3.2,Resolved,AGT0027
INT000229,CUS000325,2021-08-19,Web,Fee Inquiry,6,3.7,Partially Resolved,AGT0022
INT000230,CUS000757,2021-08-09,Phone,Complaint,16,2.4,Unresolved,AGT0097
INT000231,CUS000802,2024-03-31,Phone,Transaction Issue,27,2.7,Unresolved,AGT0074
INT000232,CUS000435,2020-10-28,In-person,Account Inquiry,22,4.0,Partially Resolved,AGT0065
INT000233,CUS000186,2021-06-23,Phone,Fee Inquiry,21,3.9,Resolved,AGT0056
INT000234,CUS000726,2024-07-27,In-person,Market Information,14,4.1,Resolved,AGT0040
INT000235,CUS000618,2024-07-02,Chat,Fee Inquiry,7,3.6,Resolved,AGT0092
INT000236,CUS000528,2023-01-16,Phone,Fee Inquiry,16,4.0,Partially Resolved,AGT0086
INT000237,CUS000577,2022-07-31,In-person,Password Reset,10,4.6,Resolved,AGT0094
INT000238,CUS000895,2024-07-09,Email,Statement Request,10,4.5,Resolved,AGT0002
INT000239,CUS000551,2024-01-11,Chat,Account Inquiry,12,4.8,Resolved,AGT0048
INT000240,CUS000909,2024-01-26,Phone,Fee Inquiry,14,4.3,Resolved,AGT0075
INT000241,CUS000225,2022-05-17,In-person,Password Reset,10,3.7,Resolved,AGT0065
INT000242,CUS000284,2022-02-20,Email,Technical Support,13,2.2,Unresolved,AGT0014
INT000243,CUS000946,2023-09-17,Phone,Password Reset,17,4.2,Resolved,AGT0005
INT000244,CUS000821,2022-01-31,Phone,Account Inquiry,28,3.0,Partially Resolved,AGT0071
INT000245,CUS000852,2023-10-10,In-person,Market Information,25,3.4,Partially Resolved,AGT0091
INT000246,CUS000253,2022-04-06,Phone,Market Information,29,3.4,Resolved,AGT0098
INT000247,CUS000728,2024-01-24,Phone,Account Inquiry,20,3.9,Partially Resolved,AGT0038
INT000248,CUS000785,2024-04-25,Phone,Technical Support,12,2.8,Partially Resolved,AGT0074
INT000249,CUS000620,2022-05-12,Chat,Investment Advice,8,3.3,Partially Resolved,AGT0094
INT000250,CUS000347,2024-03-04,Phone,Investment Advice,14,3.6,Partially Resolved,AGT0058
INT000251,CUS000104,2024-06-29,Mobile App,Complaint,22,3.0,Partially Resolved,AGT0065
INT000252,CUS000239,2023-10-04,Chat,Fee Inquiry,14,4.4,Resolved,AGT0080
INT000253,CUS000896,2024-07-20,Phone,Market Information,29,3.5,Resolved,AGT0054
INT000254,CUS000305,2023-06-11,In-person,Market Information,15,4.6,Resolved,AGT0031
INT000255,CUS000203,2024-08-25,Web,Technical Support,5,2.9,Partially Resolved,AGT0005
INT000256,CUS000714,2024-07-01,Phone,Account Inquiry,28,3.4,Partially Resolved,AGT0087
INT000257,CUS000813,2023-10-25,Phone,Account Inquiry,13,4.0,Partially Resolved,AGT0074
INT000258,CUS000024,2024-04-28,Email,Investment Advice,4,4.0,Partially Resolved,AGT0069
INT000259,CUS000389,2020-11-01,Phone,Account Inquiry,7,3.8,Partially Resolved,AGT0052
INT000260,CUS000162,2024-07-17,In-person,Password Reset,23,3.0,Partially Resolved,AGT0014
INT000261,CUS000791,2023-02-04,Phone,Market Information,18,3.6,Partially Resolved,AGT0100
INT000262,CUS000233,2024-09-22,Web,Fee Inquiry,15,4.2,Resolved,AGT0002
INT000263,CUS000053,2023-10-22,Web,Complaint,16,3.4,Resolved,AGT0059
INT000264,CUS000838,2022-12-02,In-person,Investment Advice,7,4.2,Resolved,AGT0036
INT000265,CUS000865,2023-04-14,Phone,Password Reset,25,3.6,Resolved,AGT0027
INT000266,CUS000129,2024-03-19,Chat,Transaction Issue,16,2.3,Unresolved,AGT0097
INT000267,CUS000047,2023-11-06,Phone,Market Information,18,4.2,Resolved,AGT0096
INT000268,CUS000959,2022-03-27,Phone,Statement Request,5,4.2,Resolved,AGT0070
INT000269,CUS000651,2024-09-12,Chat,Password Reset,4,4.3,Resolved,AGT0018
INT000270,CUS000688,2024-06-12,Web,Complaint,19,4.1,Resolved,AGT0087
INT000271,CUS000671,2021-01-01,In-person,Technical Support,7,3.0,Partially Resolved,AGT0084
INT000272,CUS000061,2024-07-26,Phone,Statement Request,16,4.6,Resolved,AGT0085
INT000273,CUS000458,2024-03-02,Phone,Transaction Issue,15,2.6,Unresolved,AGT0079
INT000274,CUS000408,2024-02-28,Phone,Technical Support,22,2.7,Partially Resolved,AGT0033
INT000275,CUS000297,2024-04-14,Web,Statement Request,10,4.3,Resolved,AGT0067
INT000276,CUS000866,2021-04-07,In-person,Password Reset,30,3.7,Partially Resolved,AGT0085
INT000277,CUS000130,2024-09-04,Phone,Account Inquiry,27,4.8,Resolved,AGT0056
INT000278,CUS000697,2024-06-11,Web,Market Information,11,4.1,Resolved,AGT0075
INT000279,CUS000301,2023-12-17,Web,Fee Inquiry,3,4.2,Resolved,AGT0029
INT000280,CUS000515,2022-11-09,Web,Statement Request,8,3.1,Resolved,AGT0004
INT000281,CUS000764,2023-08-11,In-person,Password Reset,11,4.4,Resolved,AGT0038
INT000282,CUS000362,2022-07-30,In-person,Statement Request,13,3.5,Partially Resolved,AGT0040
INT000283,CUS000879,2022-06-09,In-person,Statement Request,28,3.7,Resolved,AGT0079
INT000284,CUS000541,2022-06-03,In-person,Password Reset,28,2.8,Unresolved,AGT0068
INT000285,CUS000603,2024-08-17,Email,Statement Request,3,3.8,Partially Resolved,AGT0029
INT000286,CUS000333,2021-06-03,Phone,Complaint,7,3.1,Partially Resolved,AGT0063
INT000287,CUS000025,2023-06-18,Phone,Password Reset,25,3.3,Resolved,AGT0036
INT000288,CUS000697,2024-09-15,In-person,Password Reset,9,3.7,Resolved,AGT0095
INT000289,CUS000165,2024-06-03,Phone,Statement Request,8,3.9,Resolved,AGT0044
INT000290,CUS000170,2024-04-15,In-person,Technical Support,5,2.8,Unresolved,AGT0005
INT000291,CUS000830,2024-06-09,Chat,Complaint,9,2.8,Partially Resolved,AGT0016
INT000292,CUS000018,2022-10-21,Phone,Investment Advice,5,4.3,Resolved,AGT0062
INT000293,CUS000544,2024-07-28,Phone,Transaction Issue,18,3.4,Partially Resolved,AGT0020
INT000294,CUS000929,2023-11-10,Mobile App,Password Reset,7,3.6,Resolved,AGT0047
INT000295,CUS000077,2024-09-26,Phone,Technical Support,22,2.9,Partially Resolved,AGT0096
INT000296,CUS000720,2023-07-31,In-person,Investment Advice,8,4.4,Resolved,AGT0073
INT000297,CUS000689,2024-03-26,In-person,Market Information,13,4.2,Resolved,AGT0065
