engagement_id,customer_id,date,action_type,device_type,session_duration,pages_viewed,actions_taken
ENG0000142,CUS000321,2024-01-28,Use Planning Tool,Mobile Phone,18,9,4
ENG0000143,CUS000005,2020-09-06,Modify Investment,Tablet,9,4,2
ENG0000144,CUS000864,2023-04-10,Research Product,Smart TV,20,10,5
ENG0000145,CUS000212,2024-03-22,Modify Investment,Desktop,4,2,1
ENG0000146,CUS000221,2024-04-29,Watch Educational Video,Mobile Phone,10,5,2
ENG0000147,CUS000281,2024-09-22,Modify Investment,Mobile Phone,9,4,2
ENG0000148,CUS000054,2024-01-20,Update Profile,Voice Assistant,5,2,1
ENG0000149,CUS000083,2024-06-26,Download Statement,Desktop,3,1,1
ENG0000150,CUS000843,2020-09-26,Use Planning Tool,Mobile Phone,19,9,4
ENG0000151,CUS000455,2024-08-09,View Balance,Mobile Phone,7,3,1
ENG0000152,CUS000742,2023-05-07,Use Planning Tool,Tablet,25,12,6
ENG0000153,CUS000968,2024-08-01,Download Statement,Mobile Phone,4,2,1
ENG0000154,CUS000971,2023-10-29,Complete Survey,Tablet,4,2,1
ENG0000155,CUS000410,2024-06-03,Research Product,Tablet,17,8,4
ENG0000156,CUS000416,2024-09-09,View Balance,Mobile Phone,4,2,1
ENG0000157,CUS000551,2023-11-05,Update Profile,Smart TV,2,1,1
ENG0000158,CUS000426,2024-09-05,Download Statement,Voice Assistant,2,1,1
ENG0000159,CUS000744,2022-06-17,Login,Mobile Phone,5,2,1
ENG0000160,CUS000072,2024-06-05,Watch Educational Video,Mobile Phone,17,8,4
ENG0000161,CUS000176,2023-06-07,Contact Support,Mobile Phone,8,4,2
ENG0000162,CUS000448,2024-09-24,Modify Investment,Mobile Phone,4,2,1
ENG0000163,CUS000927,2024-05-24,Modify Investment,Voice Assistant,4,2,1
ENG0000164,CUS000939,2024-08-19,Download Statement,Mobile Phone,1,1,1
ENG0000165,CUS000223,2023-07-24,View Balance,Smart TV,5,2,1
ENG0000166,CUS000923,2024-05-09,Watch Educational Video,Smart TV,28,14,7
ENG0000167,CUS000217,2022-12-27,Contact Support,Tablet,6,3,1
ENG0000168,CUS000887,2022-01-14,Login,Desktop,2,1,1
ENG0000169,CUS000815,2022-05-11,Use Planning Tool,Voice Assistant,29,14,7
ENG0000170,CUS000451,2021-04-23,Research Product,Smart TV,29,14,7
ENG0000171,CUS000369,2021-12-30,Modify Investment,Desktop,7,3,1
ENG0000172,CUS000275,2023-10-24,View Balance,Tablet,10,5,2
ENG0000173,CUS000322,2024-01-04,View Balance,Mobile Phone,4,2,1
ENG0000174,CUS000127,2021-05-26,Complete Survey,Tablet,3,1,1
ENG0000175,CUS000239,2023-06-05,View Balance,Tablet,10,5,2
ENG0000176,CUS000090,2023-09-10,View Balance,Smart TV,5,2,1
ENG0000177,CUS000250,2024-09-26,Research Product,Voice Assistant,12,6,3
ENG0000178,CUS000039,2024-03-26,Modify Investment,Mobile Phone,8,4,2
ENG0000179,CUS000571,2023-02-26,Login,Tablet,1,1,1
ENG0000180,CUS000081,2024-04-01,Update Profile,Mobile Phone,1,1,1
ENG0000181,CUS000716,2024-03-02,Modify Investment,Tablet,2,1,1
ENG0000182,CUS000370,2024-05-17,Use Planning Tool,Voice Assistant,21,10,5
ENG0000183,CUS000710,2023-09-09,Use Planning Tool,Desktop,27,13,6
ENG0000184,CUS000187,2024-09-15,View Balance,Mobile Phone,9,4,2
ENG0000185,CUS000976,2023-11-04,View Balance,Mobile Phone,8,4,2
ENG0000186,CUS000988,2024-09-26,Complete Survey,Desktop,9,4,2
ENG0000187,CUS000352,2023-04-14,Complete Survey,Smart TV,8,4,2
ENG0000188,CUS000669,2024-03-14,Watch Educational Video,Smart TV,9,4,2
ENG0000189,CUS000261,2023-11-13,Download Statement,Tablet,1,1,1
ENG0000190,CUS000738,2023-11-23,Update Profile,Smart TV,2,1,1
ENG0000191,CUS000341,2024-04-02,Download Statement,Voice Assistant,5,2,1
ENG0000192,CUS000532,2023-06-17,Login,Desktop,2,1,1
ENG0000193,CUS000318,2024-02-15,Update Profile,Desktop,3,1,1
ENG0000194,CUS000309,2024-08-17,View Balance,Mobile Phone,3,1,1
ENG0000195,CUS000700,2024-08-04,Research Product,Smart TV,29,14,7
ENG0000196,CUS000236,2024-07-08,Download Statement,Smart TV,4,2,1
ENG0000197,CUS000746,2024-08-21,Use Planning Tool,Mobile Phone,11,5,2
ENG0000198,CUS000550,2023-11-12,Download Statement,Smart TV,5,2,1
ENG0000199,CUS000899,2022-01-15,Update Profile,Smart TV,5,2,1
ENG0000200,CUS000451,2022-04-23,Contact Support,Tablet,3,1,1
ENG0000201,CUS000811,2024-01-29,Use Planning Tool,Mobile Phone,15,7,3
ENG0000202,CUS000881,2023-08-25,Update Profile,Desktop,4,2,1
ENG0000203,CUS000081,2024-03-25,Contact Support,Voice Assistant,4,2,1
ENG0000204,CUS000071,2024-08-22,View Balance,Tablet,3,1,1
ENG0000205,CUS000353,2024-02-23,Complete Survey,Tablet,7,3,1
ENG0000206,CUS000543,2022-07-24,Contact Support,Desktop,8,4,2
ENG0000207,CUS000756,2024-02-01,Login,Desktop,4,2,1
ENG0000208,CUS000093,2024-04-27,View Balance,Mobile Phone,9,4,2
ENG0000209,CUS000315,2021-07-15,Contact Support,Mobile Phone,9,4,2
ENG0000210,CUS000703,2024-02-08,Research Product,Smart TV,14,7,3
ENG0000211,CUS000838,2024-07-30,Update Profile,Voice Assistant,1,1,1
ENG0000212,CUS000394,2023-04-07,Login,Tablet,5,2,1
ENG0000213,CUS000091,2024-07-31,Watch Educational Video,Tablet,26,13,6
ENG0000214,CUS000389,2021-10-03,Update Profile,Desktop,4,2,1
ENG0000215,CUS000187,2024-02-06,Login,Smart TV,2,1,1
ENG0000216,CUS000686,2021-08-02,Use Planning Tool,Desktop,23,11,5
ENG0000217,CUS000496,2022-08-05,Complete Survey,Voice Assistant,9,4,2
ENG0000218,CUS000645,2022-04-08,Research Product,Desktop,7,3,1
ENG0000219,CUS000800,2023-06-22,Contact Support,Desktop,5,2,1
ENG0000220,CUS000430,2022-04-13,View Balance,Smart TV,7,3,1
ENG0000221,CUS000565,2023-11-15,Login,Mobile Phone,3,1,1
ENG0000222,CUS000569,2023-11-10,Research Product,Smart TV,21,10,5
ENG0000223,CUS000564,2023-11-08,Use Planning Tool,Desktop,15,7,3
ENG0000224,CUS000431,2023-11-28,Complete Survey,Voice Assistant,6,3,1
ENG0000225,CUS000103,2021-04-11,View Balance,Tablet,2,1,1
ENG0000226,CUS000007,2024-05-15,Contact Support,Mobile Phone,2,1,1
ENG0000227,CUS000038,2023-10-19,View Balance,Tablet,10,5,2
ENG0000228,CUS000497,2024-05-04,Use Planning Tool,Voice Assistant,30,15,7
ENG0000229,CUS000482,2023-08-05,Research Product,Mobile Phone,25,12,6
ENG0000230,CUS000495,2023-05-31,Update Profile,Mobile Phone,2,1,1
ENG0000231,CUS000022,2022-08-26,Contact Support,Tablet,5,2,1
ENG0000232,CUS000270,2023-05-28,Research Product,Desktop,7,3,1
ENG0000233,CUS000739,2024-08-12,Update Profile,Tablet,3,1,1
ENG0000234,CUS000255,2023-07-30,Modify Investment,Mobile Phone,7,3,1
ENG0000235,CUS000882,2024-09-12,Use Planning Tool,Smart TV,29,14,7
ENG0000236,CUS000900,2024-09-26,Download Statement,Smart TV,1,1,1
ENG0000237,CUS000754,2024-08-27,Contact Support,Voice Assistant,4,2,1
ENG0000238,CUS000306,2024-08-29,Download Statement,Mobile Phone,2,1,1
ENG0000239,CUS000270,2021-12-21,Update Profile,Desktop,2,1,1
ENG0000240,CUS000780,2024-06-05,Watch Educational Video,Desktop,19,9,4
ENG0000241,CUS000204,2024-01-28,Use Planning Tool,Tablet,22,11,5
ENG0000242,CUS000243,2024-07-06,View Balance,Tablet,5,2,1
ENG0000243,CUS000151,2020-06-07,Research Product,Smart TV,26,13,6
ENG0000244,CUS000754,2024-09-28,Download Statement,Desktop,2,1,1
ENG0000245,CUS000941,2024-09-26,Use Planning Tool,Voice Assistant,5,2,1
ENG0000246,CUS000560,2023-05-08,Update Profile,Mobile Phone,1,1,1
ENG0000247,CUS000372,2024-07-18,Watch Educational Video,Tablet,9,4,2
ENG0000248,CUS000570,2023-08-08,Login,Mobile Phone,2,1,1
ENG0000249,CUS000473,2023-06-14,View Balance,Voice Assistant,7,3,1
ENG0000250,CUS000420,2024-04-14,Watch Educational Video,Tablet,28,14,7
ENG0000251,CUS000394,2023-09-04,View Balance,Tablet,5,2,1
ENG0000252,CUS000137,2024-08-11,View Balance,Tablet,4,2,1
ENG0000253,CUS000247,2021-04-07,Login,Desktop,5,2,1
ENG0000254,CUS000480,2024-07-05,Modify Investment,Tablet,10,5,2
ENG0000255,CUS000200,2024-06-20,Download Statement,Desktop,2,1,1
ENG0000256,CUS000958,2021-02-17,Research Product,Desktop,29,14,7
ENG0000257,CUS000067,2024-09-07,Download Statement,Voice Assistant,2,1,1
ENG0000258,CUS000874,2024-07-27,Update Profile,Mobile Phone,2,1,1
ENG0000259,CUS000390,2022-03-17,Update Profile,Mobile Phone,4,2,1
ENG0000260,CUS000193,2024-07-05,Modify Investment,Mobile Phone,9,4,2
ENG0000261,CUS000699,2020-12-26,Contact Support,Mobile Phone,2,1,1
ENG0000262,CUS000145,2024-08-21,Contact Support,Desktop,3,1,1
ENG0000263,CUS000892,2023-11-15,Watch Educational Video,Desktop,29,14,7
ENG0000264,CUS000434,2024-03-09,View Balance,Desktop,2,1,1
ENG0000265,CUS000624,2024-09-12,View Balance,Smart TV,2,1,1
ENG0000266,CUS000292,2023-05-20,Use Planning Tool,Mobile Phone,20,10,5
ENG0000267,CUS000036,2024-03-21,Login,Voice Assistant,2,1,1
ENG0000268,CUS000223,2022-09-19,Complete Survey,Voice Assistant,7,3,1
ENG0000269,CUS000181,2022-12-23,View Balance,Mobile Phone,7,3,1
ENG0000270,CUS000592,2021-04-05,Update Profile,Mobile Phone,5,2,1
ENG0000271,CUS000519,2023-05-23,Modify Investment,Tablet,9,4,2
ENG0000272,CUS000330,2021-12-05,Watch Educational Video,Mobile Phone,6,3,1
ENG0000273,CUS000005,2021-12-14,Download Statement,Smart TV,4,2,1
ENG0000274,CUS000480,2024-06-03,Update Profile,Voice Assistant,2,1,1
ENG0000275,CUS000120,2024-03-28,Research Product,Voice Assistant,15,7,3
ENG0000276,CUS000309,2024-09-18,Research Product,Mobile Phone,6,3,1
ENG0000277,CUS000849,2022-08-29,Modify Investment,Desktop,8,4,2
ENG0000278,CUS000908,2024-07-25,Use Planning Tool,Tablet,25,12,6
ENG0000279,CUS000644,2023-08-14,Research Product,Desktop,18,9,4
ENG0000280,CUS000313,2023-10-06,Research Product,Tablet,12,6,3
ENG0000281,CUS000501,2023-03-18,Update Profile,Smart TV,2,1,1
ENG0000282,CUS000210,2024-02-15,Contact Support,Mobile Phone,4,2,1
ENG0000283,CUS000655,2024-05-31,Modify Investment,Tablet,3,1,1
ENG0000284,CUS000290,2023-09-15,Complete Survey,Desktop,2,1,1
ENG0000285,CUS000524,2023-05-05,Contact Support,Mobile Phone,5,2,1
ENG0000286,CUS000329,2023-11-08,Complete Survey,Desktop,2,1,1
ENG0000287,CUS000856,2024-03-01,Download Statement,Desktop,2,1,1
ENG0000288,CUS000354,2022-04-01,Update Profile,Mobile Phone,1,1,1
ENG0000289,CUS000193,2024-08-13,Research Product,Tablet,8,4,2
ENG0000290,CUS000362,2022-03-10,Download Statement,Smart TV,4,2,1
ENG0000291,CUS000747,2024-08-18,Contact Support,Tablet,6,3,1
ENG0000292,CUS000254,2024-09-19,Download Statement,Smart TV,5,2,1
ENG0000293,CUS000581,2024-09-19,Contact Support,Mobile Phone,3,1,1
ENG0000294,CUS000069,2024-01-16,View Balance,Voice Assistant,5,2,1
ENG0000295,CUS000605,2023-07-12,Modify Investment,Tablet,3,1,1
ENG0000296,CUS000223,2022-10-25,Contact Support,Desktop,7,3,1
ENG0000297,CUS000089,2024-06-23,Use Planning Tool,Tablet,10,5,2
ENG0000298,CUS000486,2024-09-29,Download Statement,Desktop,4,2,1
ENG0000299,CUS000402,2024-08-18,Modify Investment,Tablet,4,2,1
ENG0000300,CUS000236,2024-03-29,Research Product,Mobile Phone,12,6,3
ENG0000301,CUS000685,2024-07-08,Modify Investment,Mobile Phone,4,2,1
ENG0000302,CUS000208,2024-02-23,Use Planning Tool,Tablet,8,4,2
ENG0000303,CUS000356,2024-09-21,Use Planning Tool,Tablet,30,15,7
ENG0000304,CUS000123,2023-11-24,View Balance,Desktop,3,1,1
ENG0000305,CUS000769,2023-09-10,Watch Educational Video,Desktop,17,8,4
ENG0000306,CUS000875,2024-03-23,Modify Investment,Desktop,2,1,1
ENG0000307,CUS000679,2023-10-30,Complete Survey,Mobile Phone,5,2,1
ENG0000308,CUS000651,2024-08-22,Complete Survey,Voice Assistant,3,1,1
ENG0000309,CUS000900,2024-09-01,Contact Support,Mobile Phone,7,3,1
ENG0000310,CUS000732,2023-12-26,Watch Educational Video,Smart TV,19,9,4
ENG0000311,CUS000606,2024-07-30,Research Product,Voice Assistant,23,11,5
ENG0000312,CUS000447,2024-08-19,Use Planning Tool,Mobile Phone,28,14,7
ENG0000313,CUS000568,2023-03-04,Download Statement,Tablet,5,2,1
ENG0000314,CUS000947,2024-05-17,Contact Support,Mobile Phone,8,4,2
ENG0000315,CUS000469,2023-11-09,View Balance,Tablet,6,3,1
ENG0000316,CUS000399,2023-10-19,View Balance,Tablet,9,4,2
ENG0000317,CUS000976,2022-07-01,Watch Educational Video,Voice Assistant,21,10,5
ENG0000318,CUS000246,2023-10-19,Complete Survey,Voice Assistant,6,3,1
ENG0000319,CUS000470,2023-06-17,View Balance,Mobile Phone,6,3,1
ENG0000320,CUS000787,2023-12-16,Use Planning Tool,Tablet,11,5,2
ENG0000321,CUS000400,2023-12-17,Login,Tablet,2,1,1
ENG0000322,CUS000711,2024-03-01,Download Statement,Tablet,5,2,1
ENG0000323,CUS000712,2024-03-17,View Balance,Tablet,10,5,2
ENG0000324,CUS000251,2023-03-18,Update Profile,Desktop,4,2,1
ENG0000325,CUS000707,2024-05-29,Research Product,Smart TV,8,4,2
ENG0000326,CUS000442,2021-07-28,View Balance,Tablet,5,2,1
ENG0000327,CUS000692,2024-09-26,Research Product,Smart TV,26,13,6
ENG0000328,CUS000300,2024-03-06,Download Statement,Desktop,1,1,1
ENG0000329,CUS000969,2022-04-26,Watch Educational Video,Tablet,12,6,3
ENG0000330,CUS000588,2023-10-06,Research Product,Desktop,19,9,4
ENG0000331,CUS000605,2021-06-13,Research Product,Desktop,26,13,6
ENG0000332,CUS000643,2024-03-22,Use Planning Tool,Voice Assistant,13,6,3
ENG0000333,CUS000938,2023-06-22,Update Profile,Tablet,3,1,1
ENG0000334,CUS000550,2024-04-06,Update Profile,Smart TV,4,2,1
ENG0000335,CUS000220,2024-05-03,Contact Support,Smart TV,2,1,1
ENG0000336,CUS000577,2021-12-05,Research Product,Tablet,22,11,5
ENG0000337,CUS000180,2023-12-13,Use Planning Tool,Voice Assistant,27,13,6
ENG0000338,CUS000250,2024-05-30,Download Statement,Tablet,5,2,1
ENG0000339,CUS000942,2021-06-12,Update Profile,Tablet,4,2,1
ENG0000340,CUS000006,2022-11-30,Contact Support,Tablet,5,2,1
ENG0000341,CUS000889,2024-06-24,Contact Support,Mobile Phone,2,1,1
ENG0000342,CUS000362,2022-09-08,Use Planning Tool,Desktop,29,14,7
ENG0000343,CUS000093,2021-07-31,Login,Tablet,1,1,1
ENG0000344,CUS000448,2024-09-20,Research Product,Desktop,19,9,4
ENG0000345,CUS000626,2023-11-05,Modify Investment,Mobile Phone,4,2,1
ENG0000346,CUS000875,2024-08-06,View Balance,Mobile Phone,2,1,1
ENG0000347,CUS000885,2024-06-24,View Balance,Voice Assistant,8,4,2
ENG0000348,CUS000911,2024-04-11,Use Planning Tool,Mobile Phone,17,8,4
ENG0000349,CUS000882,2024-03-30,Login,Smart TV,2,1,1
ENG0000350,CUS000632,2022-08-05,Modify Investment,Tablet,4,2,1
ENG0000351,CUS000110,2024-01-15,Use Planning Tool,Tablet,20,10,5
ENG0000352,CUS000399,2023-12-12,Modify Investment,Tablet,3,1,1
ENG0000353,CUS000770,2023-12-13,Login,Tablet,5,2,1
ENG0000354,CUS000346,2023-12-09,Modify Investment,Tablet,6,3,1
ENG0000355,CUS000783,2023-01-27,Update Profile,Voice Assistant,1,1,1
ENG0000356,CUS000974,2024-06-16,Use Planning Tool,Desktop,19,9,4
ENG0000357,CUS000743,2023-03-08,Modify Investment,Smart TV,7,3,1
ENG0000358,CUS000034,2023-07-26,Update Profile,Mobile Phone,5,2,1
ENG0000359,CUS000726,2023-12-12,Download Statement,Mobile Phone,1,1,1
